,id,time (delta),RSSI (dBm)
15292,7171,83:,-66
15293,0,8:,-77
15294,7171,83:,-66
15301,7171,83:,-66
15302,0,8:,-77
15303,7171,83:,-66
15310,7171,83:,-66
15311,0,8:,-77
15312,7171,83:,-66
15319,7171,83:,-66
15320,0,8:,-77
15321,7171,83:,-66
15328,7171,83:,-66
15329,0,8:,-77
15330,7171,83:,-66
15337,7171,83:,-66
15338,0,8:,-77
15339,7171,83:,-66
15346,7171,83:,-66
15347,0,8:,-77
15348,7171,83:,-66
15355,7171,84:,-66
15356,0,9:,-77
15357,7171,84:,-66
15364,7171,84:,-66
15365,0,9:,-77
15366,7171,84:,-66
15373,7171,84:,-66
15374,0,9:,-77
15375,7171,84:,-66
15382,7171,84:,-66
15383,0,9:,-77
15384,7171,84:,-66
15391,7171,84:,-66
15392,0,9:,-77
15393,7171,84:,-66
15400,7171,84:,-66
15401,0,9:,-77
15402,7171,84:,-66
15409,7171,84:,-66
15410,0,9:,-77
15411,7171,84:,-66
15418,7171,84:,-66
15419,0,9:,-77
15420,7171,84:,-66
15427,7171,84:,-66
15428,0,9:,-77
15429,7171,84:,-66
15436,7171,84:,-66
15437,0,9:,-77
15438,7171,84:,-66
15445,7171,85:,-66
15446,0,10:,-77
15447,7171,85:,-66
15454,7171,85:,-66
15455,0,10:,-77
15456,7171,85:,-66
15463,7171,85:,-66
15464,0,10:,-77
15465,7171,85:,-66
15472,7171,85:,-66
15473,0,10:,-77
15474,7171,85:,-66
15481,7171,85:,-66
15482,0,10:,-77
15483,7171,85:,-66
15490,7171,85:,-66
15491,0,10:,-77
15492,7171,85:,-66
15499,7171,85:,-66
15500,0,10:,-77
15501,7171,85:,-66
15508,7171,85:,-66
15509,0,10:,-77
15510,7171,85:,-66
15517,7171,85:,-66
15518,0,10:,-77
15519,7171,85:,-66
15526,7171,85:,-66
15527,0,10:,-77
15528,7171,85:,-66
15535,7171,86:,-66
15536,0,11:,-77
15537,7171,86:,-66
15544,7171,86:,-66
15545,0,11:,-77
15546,7171,86:,-66
15553,7171,86:,-66
15554,0,11:,-77
15555,7171,86:,-66
15562,7171,86:,-66
15563,0,11:,-77
15564,7171,86:,-66
15571,7171,86:,-66
15572,0,11:,-77
15573,7171,86:,-66
15580,7171,86:,-66
15581,0,11:,-77
15582,7171,86:,-66
15589,7171,86:,-66
15590,0,11:,-77
15591,7171,86:,-66
15598,7171,86:,-66
15599,0,11:,-77
15600,7171,86:,-66
15607,7171,86:,-66
15608,0,11:,-77
15609,7171,86:,-66
15616,7171,86:,-66
15617,0,11:,-77
15618,7171,86:,-66
15625,7171,87:,-66
15626,0,12:,-77
15627,7171,87:,-66
15634,7171,87:,-66
15635,0,12:,-77
15636,7171,87:,-66
15643,7171,87:,-66
15644,0,12:,-77
15645,7171,87:,-66
15652,7171,87:,-66
15653,0,12:,-77
15654,7171,87:,-66
15661,7171,87:,-66
15662,0,12:,-77
15663,7171,87:,-66
15670,7171,87:,-66
15671,0,12:,-77
15672,7171,87:,-66
15679,7171,87:,-66
15680,0,12:,-77
15681,7171,87:,-66
15688,7171,87:,-66
15689,0,12:,-77
15690,7171,87:,-66
15697,7171,87:,-66
15698,0,12:,-77
15699,7171,87:,-66
15706,7171,87:,-66
15707,0,12:,-77
15708,7171,87:,-66
15715,7171,88:,-66
15716,0,13:,-77
15717,7171,88:,-66
15724,7171,88:,-66
15725,0,13:,-77
15726,7171,88:,-66
15733,7171,88:,-66
15734,0,13:,-77
15735,7171,88:,-66
15742,7171,88:,-66
15743,0,13:,-77
15744,7171,88:,-66
15751,7171,88:,-66
15752,0,13:,-77
15753,7171,88:,-66
15760,7171,88:,-66
15761,0,13:,-77
15762,7171,88:,-66
15769,7171,88:,-66
15770,0,13:,-77
15771,7171,88:,-66
15778,7171,88:,-66
15779,0,13:,-77
15780,7171,88:,-66
15787,7171,88:,-66
15788,0,13:,-77
15789,7171,88:,-66
15796,7171,88:,-66
15797,0,13:,-77
15798,7171,88:,-66
15805,7171,89:,-66
15806,0,14:,-77
